kind,address,name,file,line,votes,detail
callee-kept,0078f24c,sRemoveAllMaterialOverrides (sRemoveAllMaterialOverrides),,,1/1,"from 0078f3b5: sRemoveAllMaterialOverrides( pModel; MATERIAL_OVERRIDE_CLONE )"
conflict,0079ba4e,FUN_0079ba4e,,,2,{e_TexturePreload=1; dxC_TexturePreload=1}
callee-kept,007a6e41,sViewerAddModelToMeshList (sViewerAddModelToMeshList),,,1/1,"from 007a6fbd: sViewerAddModelToMeshList( pViewer; pModel; pRect; nViewParams )"
callee-kept,0077ba49,e_DeviceInit (e_DeviceInit),,,1/1,"from 00438b54: e_DeviceInit( hWnd )"
callee-kept,0078c63a,dxC_VertexBufferDefGetSizeInMemory (dxC_VertexBufferDefGetSizeInMemory),,,1/1,"from 0079272d: dxC_VertexBufferDefGetSizeInMemory( pModelDef->ptVertexBufferDefs[ i ]; &dwBytes; &dwBuffers )"
callee-kept,0079ea3a,e_TexturesRemoveAll (e_TexturesRemoveAll),,,17/17,"from 0043cc75: e_TexturesRemoveAll( TEXTURE_GROUP_BACKGROUND )"
callee-kept,00779e34,e_Render (e_Render),,,1/1,"from 004383e6: e_Render(0)"
callee-kept,00786a3c,e_ScreenFXRestore (e_ScreenFXRestore),,,1/1,"from 00785a4a: e_ScreenFXRestore( pDef )"
callee-kept,007c7239,sSetGeneralMeshParameters (sSetGeneralMeshParameters),,,4/4,"from 007cc025: sSetGeneralMeshParameters( pModel; pMesh; nMesh; nLOD; pState; pmatWorldCurrent; pmatViewCurrent; pmatProjCurrent; &matWorldViewProjection; &vEyeLocationInWorld; pEffect; *ptTechnique; pMaterial; pEnvDef; bForceCurrentEnv; bAlphaAsLighting; fModelAlpha )"
callee-kept,007a623f,VectorProject (VectorProject),,,2/2,"from 00488e40: VectorProject( &vScreenPos; pvWorldPos; &mProj; &mView )"
callee-kept,007e5238,dxC_UpdateBuffer (dxC_UpdateBuffer),,,6/6,"from 00785775: dxC_UpdateBuffer( 0; gtScreenCoverVertexBufferDef; pScreenVertices; 0; nScreenCoverSize )"
callee-kept,00795a3e,e_WardrobeAddTextureToCanvas (e_WardrobeAddTextureToCanvas),,,1/1,"from 004cf8bd: e_WardrobeAddTextureToCanvas( *pnCanvasTextureId; nLayerTextureId; nBlendTextureId; eLayerTextureType )"
callee-kept,007af230,sUILocalBufferFree (sUILocalBufferFree),,,2/2,"from 007af26e: sUILocalBufferFree(nLocalBufferID)"
callee-kept,007aea30,e_UIGetNewEngineBuffer (e_UIGetNewEngineBuffer),,,1/1,"from 007aecf2: e_UIGetNewEngineBuffer( nLocalBuffer; nEngineBuffer; bDynamic )"
callee-kept,007a7630,dxC_ViewerRender (dxC_ViewerRender),,,1/1,"from 0077a311: dxC_ViewerRender( gnMainViewerID )"
callee-kept,007a7a31,sViewerResetLists (sViewerResetLists),,,1/1,"from 007a6856: sViewerResetLists( (int)i->first )"
callee-kept,00787633,e_OptionState_LoadFromFile (e_OptionState_LoadFromFile),,,1/1,"from 0052e3b5: e_OptionState_LoadFromFile(FileName; SectionName; pState)"
callee-kept,007ebe33,sObscuranceRenderDone (sObscuranceRenderDone),,,1/1,"from 007ee0f1: sObscuranceRenderDone( tContext; bCleanup )"
callee-kept,0079f629,dxC_CopyGPUTextureToGPUTexture (dxC_CopyGPUTextureToGPUTexture),,,1/1,"from 00786902: dxC_CopyGPUTextureToGPUTexture( dxC_RTResourceGet( nSrcRT ); dxC_RTResourceGet( nDestRT ); 0 )"
callee-kept,007e222f,dx9_EndOcclusionQuery (dx9_EndOcclusionQuery),,,1/1,"from 007b78f6: dx9_EndOcclusionQuery( &(sgtParticleDrawStats[ sgeParticleCurrentDrawSection ].tOcclusion) )"
